client,addrnumber,date_from,nation,date_to,title,name1,name2,name3,name4,name_text,name_co,city1,city2,city_code,cityp_code,home_city,cityh_code,chckstatus,regiogroup,post_code1,post_code2,post_code3,pcode1_ext,pcode2_ext,pcode3_ext,po_box,dont_use_p,po_box_num,po_box_loc,city_code2,po_box_reg,po_box_cty,postalarea,transpzone,street,dont_use_s,streetcode,streetabbr,house_num1,house_num2,house_num3,str_suppl1,str_suppl2,str_suppl3,location,building,floor,roomnumber,country,langu,region,addr_group,flaggroups,pers_addr,sort1,sort2,sort_phn,deflt_comm,tel_number,tel_extens,fax_number,fax_extens,flagcomm2,flagcomm3,flagcomm4,flagcomm5,flagcomm6,flagcomm7,flagcomm8,flagcomm9,flagcomm10,flagcomm11,flagcomm12,flagcomm13,addrorigin,mc_name1,mc_city1,mc_street,extension1,extension2,time_zone,taxjurcode,address_id,langu_crea,adrc_uuid,uuid_belated,id_category,adrc_err_status,po_box_lobby,deli_serv_type,deli_serv_number,county_code,county,township_code,township,mc_county,mc_township,xpcpt,operation_flag,is_deleted,recordstamp
200,15211,2001-01-01,,9999-12-31,,Ada Burchette,,,,,,New York,,,,,,,,10001.0,,,,,,,,,,,,,,,207 Sandy Road,,,,,,,,,,,,,,,,,BP,,,11LO615-15,,,,,,,,,,,,,,,,,,,,,TECHNOLAND,STUTTGART,DAIMLER-BENZ STR.,,,CET,,,D,,,,,,,,,,,,,,,I,False,2021-03-31 02:35:14+00:00
800,657732,0001-01-01,,9999-12-31,2.0,Deva 8th Nov,,,,,,holywood,,,,,,,,90068.0,,,,,,,,,,,,,,,2301 highland court,,,,,,,,,,,,,,,,,BP,,,,,,,,,,,,,,,,,,,,,,,,DEVA 8TH NOV,HOLYWOOD,2301 HIGHLAND COURT,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:35:09.803242+00:00
800,657733,0001-01-01,,9999-12-31,2.0,Deva 8th Nov,,,,,,holywood,,,,,,,,90068.0,,,,,,,,,,,,,,,2301 highland court,,,,,,,,,,,,,,,,,BP,,,,,,,,,,,,,,,,,,,,,,,,DEVA 8TH NOV,HOLYWOOD,2301 HIGHLAND COURT,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:35:09.803242+00:00
0,22910,0001-01-01,,9999-12-31,,Company address - please maintain,Default company address for SAP users,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC01,,,,,,,,,,,,,,,,,,,,,,,,COMPANY ADDRESS - PLEASE,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:41:41.258465+00:00
800,731967,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731963,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731528,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731884,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,729675,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
800,731621,0001-01-01,,9999-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,I,False,2021-03-31 02:34:39.827464+00:00
